07/17/2022 01:56:21,635114118148676941,lightning,DisplayMetrics,False,1440,900,1920,1080
07/17/2022 01:56:21,635114118148676941,lightning,LanguageMetrics,English,drm-free
07/17/2022 01:56:21,635114118148676941,lightning,OptionsMetrics,False,False,False
07/17/2022 01:57:47,635114118148676941,lightning,LevelStarted,P026
07/17/2022 02:28:03,635114118148676941,lightning,LevelSolved,P026,221,90,32,54
07/17/2022 02:28:09,635114118148676941,lightning,LevelExited,P026
07/17/2022 02:28:14,635114118148676941,lightning,LevelStarted,P027
07/17/2022 03:10:10,635114118148676941,lightning,LevelExited,P027
07/17/2022 03:10:13,635114118148676941,lightning,LevelStarted,P027
07/17/2022 03:30:01,635114118148676941,lightning,LevelExited,P027
07/17/2022 03:30:03,635114118148676941,lightning,LevelStarted,P027
07/17/2022 03:31:01,635114118148676941,lightning,LevelExited,P027
07/17/2022 03:31:04,635114118148676941,lightning,LevelStarted,P027
07/17/2022 03:46:55,635114118148676941,lightning,LevelSolved,P027,267,145,264,28
07/17/2022 03:47:24,635114118148676941,lightning,LevelExited,P027
07/17/2022 03:47:31,635114118148676941,lightning,LevelStarted,P027
07/17/2022 03:47:33,635114118148676941,lightning,LevelExited,P027
